# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
700.017 2.2492e-20 -1.47745e-24 1.10217e-14 -1.24173e-10
700 4.5013e-20 -2.94038e-24 2.20563e-14 -2.47094e-10
699.982 6.75628e-20 -4.38877e-24 3.31041e-14 -3.68763e-10
699.965 9.01415e-20 -5.8226e-24 4.41649e-14 -4.89179e-10
699.947 1.12749e-19 -7.24187e-24 5.52388e-14 -6.0834e-10
699.929 1.35386e-19 -8.64655e-24 6.63257e-14 -7.26246e-10
699.912 1.58052e-19 -1.00366e-23 7.74258e-14 -8.42896e-10
699.894 1.80747e-19 -1.14121e-23 8.85391e-14 -9.5829e-10
699.877 2.03471e-19 -1.27729e-23 9.96654e-14 -1.07243e-09
699.859 2.26224e-19 -1.41191e-23 1.10805e-13 -1.1853e-09
699.841 2.49006e-19 -1.54506e-23 1.21958e-13 -1.29692e-09
699.824 2.71818e-19 -1.67675e-23 1.33124e-13 -1.40728e-09
699.806 2.94659e-19 -1.80696e-23 1.44303e-13 -1.51638e-09
699.788 3.17529e-19 -1.93571e-23 1.55495e-13 -1.62422e-09
699.771 3.40429e-19 -2.06298e-23 1.66701e-13 -1.73079e-09
699.753 3.63358e-19 -2.18878e-23 1.7792e-13 -1.8361e-09
699.736 3.86316e-19 -2.31311e-23 1.89152e-13 -1.94015e-09
699.718 4.09304e-19 -2.43595e-23 2.00397e-13 -2.04293e-09
699.7 4.32321e-19 -2.55732e-23 2.11656e-13 -2.14445e-09
699.683 4.55369e-19 -2.67721e-23 2.22928e-13 -2.2447e-09
699.665 4.78445e-19 -2.79562e-23 2.34214e-13 -2.34368e-09
699.647 5.01551e-19 -2.91254e-23 2.45513e-13 -2.4414e-09
699.63 5.24687e-19 -3.02798e-23 2.56825e-13 -2.53785e-09
699.612 5.47853e-19 -3.14194e-23 2.68151e-13 -2.63302e-09
699.595 5.71048e-19 -3.2544e-23 2.7949e-13 -2.72693e-09
699.577 5.94274e-19 -3.36538e-23 2.90842e-13 -2.81956e-09
699.559 6.17529e-19 -3.47487e-23 3.02208e-13 -2.91092e-09
699.542 6.40814e-19 -3.58286e-23 3.13588e-13 -3.00101e-09
699.524 6.64129e-19 -3.68936e-23 3.24981e-13 -3.08983e-09
699.506 6.87473e-19 -3.79436e-23 3.36387e-13 -3.17737e-09
699.489 7.10848e-19 -3.89787e-23 3.47807e-13 -3.26363e-09
699.471 7.34253e-19 -3.99988e-23 3.59241e-13 -3.34862e-09
699.454 7.57688e-19 -4.10039e-23 3.70688e-13 -3.43233e-09
699.436 7.81153e-19 -4.1994e-23 3.82148e-13 -3.51476e-09
699.418 8.04648e-19 -4.2969e-23 3.93623e-13 -3.59592e-09
699.401 8.28174e-19 -4.3929e-23 4.0511e-13 -3.67579e-09
699.383 8.51729e-19 -4.48739e-23 4.16612e-13 -3.75439e-09
699.365 8.75315e-19 -4.58037e-23 4.28127e-13 -3.8317e-09
699.348 8.98932e-19 -4.67185e-23 4.39656e-13 -3.90773e-09
699.33 9.22578e-19 -4.76181e-23 4.51198e-13 -3.98247e-09
699.312 9.46255e-19 -4.85026e-23 4.62755e-13 -4.05594e-09
699.295 9.69963e-19 -4.9372e-23 4.74324e-13 -4.12811e-09
699.277 9.93701e-19 -5.02262e-23 4.85908e-13 -4.19901e-09
699.259 1.01747e-18 -5.10652e-23 4.97505e-13 -4.26861e-09
699.242 1.04127e-18 -5.18891e-23 5.09117e-13 -4.33693e-09
699.224 1.0651e-18 -5.26977e-23 5.20742e-13 -4.40396e-09
699.206 1.08896e-18 -5.34911e-23 5.3238e-13 -4.4697e-09
699.189 1.11285e-18 -5.42693e-23 5.44033e-13 -4.53415e-09
699.171 1.13677e-18 -5.50322e-23 5.55699e-13 -4.59731e-09
699.153 1.16072e-18 -5.57798e-23 5.6738e-13 -4.65918e-09
699.136 1.18471e-18 -5.65122e-23 5.79074e-13 -4.71975e-09
699.118 1.20872e-18 -5.72292e-23 5.90782e-13 -4.77904e-09
699.1 1.23277e-18 -5.79309e-23 6.02504e-13 -4.83702e-09
