# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
700.026 3.21218e-21 1.15001e-27 1.57409e-15 9.66596e-14
700.017 6.42642e-21 4.60087e-27 3.1491e-15 3.86683e-13
700.009 9.64272e-21 1.03538e-26 4.72505e-15 8.70135e-13
700 1.28611e-20 1.841e-26 6.30193e-15 1.54708e-12
699.991 1.60815e-20 2.87708e-26 7.87974e-15 2.4176e-12
699.982 1.9304e-20 4.14373e-26 9.45848e-15 3.48174e-12
699.973 2.25286e-20 5.64107e-26 1.10382e-14 4.73957e-12
699.965 2.57552e-20 7.36924e-26 1.26188e-14 6.19117e-12
699.956 2.89839e-20 9.32835e-26 1.42003e-14 7.8366e-12
699.947 3.22147e-20 1.15185e-25 1.57828e-14 9.67593e-12
699.938 3.54475e-20 1.39399e-25 1.73662e-14 1.17092e-11
699.929 3.86824e-20 1.65926e-25 1.89506e-14 1.39365e-11
699.921 4.19194e-20 1.94767e-25 2.05359e-14 1.63579e-11
699.912 4.51585e-20 2.25923e-25 2.21221e-14 1.89735e-11
699.903 4.83996e-20 2.59397e-25 2.37093e-14 2.17833e-11
699.894 5.16429e-20 2.95189e-25 2.52974e-14 2.47874e-11
699.885 5.48882e-20 3.33299e-25 2.68864e-14 2.79859e-11
699.877 5.81356e-20 3.73731e-25 2.84764e-14 3.13788e-11
699.868 6.1385e-20 4.16484e-25 3.00673e-14 3.49662e-11
699.859 6.46366e-20 4.6156e-25 3.16592e-14 3.87481e-11
699.85 6.78902e-20 5.0896e-25 3.3252e-14 4.27247e-11
699.841 7.1146e-20 5.58686e-25 3.48457e-14 4.6896e-11
699.833 7.44038e-20 6.10739e-25 3.64404e-14 5.12621e-11
699.824 7.76637e-20 6.65119e-25 3.80361e-14 5.5823e-11
699.815 8.09257e-20 7.21829e-25 3.96326e-14 6.05788e-11
699.806 8.41898e-20 7.80869e-25 4.12302e-14 6.55295e-11
699.797 8.7456e-20 8.42241e-25 4.28286e-14 7.06753e-11
699.788 9.07243e-20 9.05946e-25 4.4428e-14 7.60162e-11
699.78 9.39947e-20 9.71985e-25 4.60284e-14 8.15523e-11
699.771 9.72672e-20 1.04036e-24 4.76297e-14 8.72836e-11
699.762 1.00542e-19 1.11107e-24 4.9232e-14 9.32102e-11
699.753 1.03818e-19 1.18412e-24 5.08352e-14 9.93322e-11
699.744 1.07097e-19 1.25951e-24 5.24393e-14 1.0565e-10
699.736 1.10378e-19 1.33724e-24 5.40444e-14 1.12163e-10
699.727 1.13661e-19 1.41731e-24 5.56505e-14 1.18871e-10
699.718 1.16946e-19 1.49972e-24 5.72575e-14 1.25775e-10
699.709 1.20233e-19 1.58448e-24 5.88655e-14 1.32875e-10
699.7 1.23523e-19 1.67158e-24 6.04744e-14 1.40171e-10
699.692 1.26814e-19 1.76103e-24 6.20842e-14 1.47662e-10
699.683 1.30108e-19 1.85282e-24 6.3695e-14 1.5535e-10
699.674 1.33403e-19 1.94697e-24 6.53068e-14 1.63233e-10
699.665 1.36701e-19 2.04347e-24 6.69195e-14 1.71312e-10
699.656 1.40001e-19 2.14232e-24 6.85332e-14 1.79588e-10
699.647 1.43303e-19 2.24352e-24 7.01478e-14 1.8806e-10
699.639 1.46607e-19 2.34707e-24 7.17634e-14 1.96728e-10
699.63 1.49914e-19 2.45298e-24 7.338e-14 2.05592e-10
699.621 1.53222e-19 2.56125e-24 7.49975e-14 2.14653e-10
699.612 1.56532e-19 2.67188e-24 7.66159e-14 2.2391e-10
699.603 1.59845e-19 2.78486e-24 7.82354e-14 2.33364e-10
699.595 1.6316e-19 2.90021e-24 7.98557e-14 2.43014e-10
699.586 1.66477e-19 3.01791e-24 8.14771e-14 2.52861e-10
699.577 1.69796e-19 3.13798e-24 8.30994e-14 2.62905e-10
699.568 1.73117e-19 3.26042e-24 8.47226e-14 2.73145e-10
699.559 1.7644e-19 3.38522e-24 8.63469e-14 2.83583e-10
699.551 1.79766e-19 3.51239e-24 8.79721e-14 2.94217e-10
699.542 1.83093e-19 3.64192e-24 8.95982e-14 3.05048e-10
699.533 1.86423e-19 3.77382e-24 9.12253e-14 3.16077e-10
699.524 1.89755e-19 3.9081e-24 9.28534e-14 3.27302e-10
699.515 1.93089e-19 4.04475e-24 9.44824e-14 3.38725e-10
699.506 1.96425e-19 4.18376e-24 9.61124e-14 3.50345e-10
699.498 1.99763e-19 4.32516e-24 9.77434e-14 3.62162e-10
699.489 2.03103e-19 4.46893e-24 9.93754e-14 3.74177e-10
699.48 2.06446e-19 4.61508e-24 1.01008e-13 3.86389e-10
699.471 2.09791e-19 4.7636e-24 1.02642e-13 3.98799e-10
699.462 2.13137e-19 4.9145e-24 1.04277e-13 4.11407e-10
699.453 2.16486e-19 5.06779e-24 1.05913e-13 4.24212e-10
699.445 2.19838e-19 5.22346e-24 1.0755e-13 4.37215e-10
699.436 2.23191e-19 5.38151e-24 1.09187e-13 4.50416e-10
699.427 2.26546e-19 5.54194e-24 1.10826e-13 4.63814e-10
699.418 2.29904e-19 5.70476e-24 1.12466e-13 4.77411e-10
699.409 2.33264e-19 5.86997e-24 1.14106e-13 4.91206e-10
699.401 2.36626e-19 6.03757e-24 1.15748e-13 5.05198e-10
699.392 2.3999e-19 6.20755e-24 1.17391e-13 5.19389e-10
699.383 2.43356e-19 6.37993e-24 1.19034e-13 5.33779e-10
699.374 2.46724e-19 6.5547e-24 1.20679e-13 5.48366e-10
699.365 2.50095e-19 6.73186e-24 1.22324e-13 5.63152e-10
699.356 2.53468e-19 6.91142e-24 1.23971e-13 5.78136e-10
699.348 2.56843e-19 7.09338e-24 1.25618e-13 5.93319e-10
699.339 2.6022e-19 7.27773e-24 1.27267e-13 6.08701e-10
699.33 2.63599e-19 7.46448e-24 1.28916e-13 6.24281e-10
699.321 2.6698e-19 7.65363e-24 1.30567e-13 6.4006e-10
699.312 2.70364e-19 7.84518e-24 1.32218e-13 6.56038e-10
699.303 2.7375e-19 8.03913e-24 1.33871e-13 6.72214e-10
699.295 2.77138e-19 8.23549e-24 1.35524e-13 6.8859e-10
699.286 2.80528e-19 8.43425e-24 1.37178e-13 7.05164e-10
699.277 2.8392e-19 8.63542e-24 1.38834e-13 7.21938e-10
699.268 2.87314e-19 8.839e-24 1.4049e-13 7.38911e-10
699.259 2.90711e-19 9.04499e-24 1.42147e-13 7.56083e-10
699.251 2.9411e-19 9.25338e-24 1.43805e-13 7.73454e-10
699.242 2.97511e-19 9.46419e-24 1.45465e-13 7.91025e-10
699.233 3.00914e-19 9.67741e-24 1.47125e-13 8.08795e-10
699.224 3.0432e-19 9.89305e-24 1.48786e-13 8.26764e-10
