# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
7.70921e+07 5.66547e-14 -1.5233e-17 336.71 -1.88928e-05
7.7079e+07 1.13805e-13 -2.94112e-17 676.137 -3.64462e-05
7.70658e+07 1.71457e-13 -4.25271e-17 1018.31 -5.26542e-05
7.70526e+07 2.29613e-13 -5.45731e-17 1363.24 -6.7511e-05
7.70394e+07 2.8828e-13 -6.55416e-17 1710.96 -8.10105e-05
7.70262e+07 3.4746e-13 -7.54249e-17 2061.49 -9.31465e-05
7.7013e+07 4.0716e-13 -8.42153e-17 2414.86 -0.000103913
7.69998e+07 4.67383e-13 -9.19049e-17 2771.1 -0.000113304
7.69865e+07 5.28136e-13 -9.84858e-17 3130.22 -0.000121313
7.69733e+07 5.89421e-13 -1.0395e-16 3492.26 -0.000127934
7.69601e+07 6.51245e-13 -1.0829e-16 3857.23 -0.00013316
7.69468e+07 7.13612e-13 -1.11497e-16 4225.17 -0.000136986
7.69336e+07 7.76528e-13 -1.13563e-16 4596.09 -0.000139404
7.69203e+07 8.39996e-13 -1.1448e-16 4970.04 -0.000140409
7.6907e+07 9.04023e-13 -1.14239e-16 5347.02 -0.000139993
7.68938e+07 9.68614e-13 -1.12833e-16 5727.08 -0.00013815
7.68805e+07 1.03377e-12 -1.10252e-16 6110.23 -0.000134874
7.68672e+07 1.09951e-12 -1.06489e-16 6496.5 -0.000130158
7.68539e+07 1.16582e-12 -1.01534e-16 6885.93 -0.000123994
7.68406e+07 1.23271e-12 -9.53795e-17 7278.53 -0.000116377
7.68273e+07 1.3002e-12 -8.8016e-17 7674.34 -0.0001073
7.6814e+07 1.36828e-12 -7.94348e-17 8073.39 -9.67547e-05
7.68007e+07 1.43696e-12 -6.96272e-17 8475.69 -8.47351e-05
7.67873e+07 1.50625e-12 -5.85841e-17 8881.29 -7.1234e-05
7.6774e+07 1.57615e-12 -4.62964e-17 9290.21 -5.62443e-05
7.67607e+07 1.64667e-12 -3.27552e-17 9702.49 -3.97588e-05
7.67473e+07 1.71781e-12 -1.79511e-17 10118.1 -2.17704e-05
7.6734e+07 1.78957e-12 -1.87481e-18 10537.2 -2.27172e-06
7.67206e+07 1.86198e-12 1.54829e-17 10959.7 1.87445e-05
7.67072e+07 1.93502e-12 3.41316e-17 11385.7 4.12855e-05
7.66938e+07 2.00871e-12 5.40808e-17 11815.1 6.5359e-05
7.66805e+07 2.08305e-12 7.534e-17 12248.1 9.09723e-05
7.66671e+07 2.15805e-12 9.7919e-17 12684.7 0.000118133
7.66537e+07 2.23372e-12 1.21828e-16 13124.8 0.000146849
7.66403e+07 2.31005e-12 1.47076e-16 13568.6 0.000177127
7.66269e+07 2.38706e-12 1.73673e-16 14016.1 0.000208976
7.66134e+07 2.46476e-12 2.0163e-16 14467.2 0.000242404
7.66e+07 2.54314e-12 2.30956e-16 14922 0.000277417
7.65866e+07 2.62222e-12 2.61662e-16 15380.6 0.000314025
7.65731e+07 2.702e-12 2.93758e-16 15843 0.000352234
7.65597e+07 2.78249e-12 3.27254e-16 16309.3 0.000392054
7.65462e+07 2.8637e-12 3.62162e-16 16779.3 0.000433492
7.65328e+07 2.94562e-12 3.9849e-16 17253.3 0.000476557
7.65193e+07 3.02828e-12 4.36251e-16 17731.2 0.000521257
7.65058e+07 3.11167e-12 4.75455e-16 18213 0.000567599
7.64923e+07 3.1958e-12 5.16113e-16 18698.9 0.000615594
7.64789e+07 3.28068e-12 5.58235e-16 19188.7 0.000665248
7.64654e+07 3.36631e-12 6.01832e-16 19682.7 0.000716571
7.64519e+07 3.45271e-12 6.46917e-16 20180.7 0.000769571
7.64383e+07 3.53988e-12 6.935e-16 20682.9 0.000824257
7.64248e+07 3.62783e-12 7.41592e-16 21189.2 0.000880637
7.64113e+07 3.71655e-12 7.91205e-16 21699.8 0.000938721
7.63978e+07 3.80608e-12 8.4235e-16 22214.6 0.000998517
7.63842e+07 3.89639e-12 8.95039e-16 22733.7 0.00106003
7.63707e+07 3.98752e-12 9.49284e-16 23257.1 0.00112328
7.63571e+07 4.07946e-12 1.0051e-15 23784.9 0.00118827
7.63436e+07 4.17222e-12 1.06249e-15 24317.1 0.00125501
7.633e+07 4.26581e-12 1.12147e-15 24853.7 0.0013235
7.63164e+07 4.36024e-12 1.18206e-15 25394.9 0.00139376
7.63028e+07 4.45551e-12 1.24426e-15 25940.5 0.0014658
7.62892e+07 4.55163e-12 1.30809e-15 26490.7 0.00153962
7.62756e+07 4.64861e-12 1.37356e-15 27045.5 0.00161524
7.6262e+07 4.74646e-12 1.44069e-15 27604.9 0.00169267
7.62484e+07 4.84519e-12 1.50948e-15 28169.1 0.00177191
7.62348e+07 4.9448e-12 1.57995e-15 28737.9 0.00185297
7.62212e+07 5.04531e-12 1.65211e-15 29311.6 0.00193587
7.62075e+07 5.14671e-12 1.72598e-15 29890 0.00202062
7.61939e+07 5.24903e-12 1.80156e-15 30473.3 0.00210722
7.61803e+07 5.35226e-12 1.87888e-15 31061.5 0.00219568
7.61666e+07 5.45642e-12 1.95793e-15 31654.6 0.00228602
7.61529e+07 5.56152e-12 2.03875e-15 32252.7 0.00237825
7.61393e+07 5.66756e-12 2.12134e-15 32855.9 0.00247237
7.61256e+07 5.77455e-12 2.20571e-15 33464.1 0.0025684
7.61119e+07 5.8825e-12 2.29189e-15 34077.5 0.00266634
7.60982e+07 5.99143e-12 2.37987e-15 34696 0.00276621
7.60845e+07 6.10133e-12 2.46969e-15 35319.7 0.00286802
7.60708e+07 6.21223e-12 2.56134e-15 35948.7 0.00297178
7.60571e+07 6.32412e-12 2.65485e-15 36583 0.0030775
7.60434e+07 6.43702e-12 2.75023e-15 37222.7 0.00318519
7.60296e+07 6.55094e-12 2.8475e-15 37867.7 0.00329486
7.60159e+07 6.66588e-12 2.94666e-15 38518.2 0.00340653
7.60021e+07 6.78186e-12 3.04774e-15 39174.2 0.0035202
7.59884e+07 6.89889e-12 3.15075e-15 39835.8 0.00363588
7.59746e+07 7.01697e-12 3.2557e-15 40503 0.00375359
7.59609e+07 7.13612e-12 3.36261e-15 41175.8 0.00387334
7.59471e+07 7.25634e-12 3.4715e-15 41854.3 0.00399514
7.59333e+07 7.37765e-12 3.58238e-15 42538.6 0.00411901
7.59195e+07 7.50006e-12 3.69526e-15 43228.6 0.00424494
7.59057e+07 7.62357e-12 3.81017e-15 43924.6 0.00437297
7.58919e+07 7.7482e-12 3.92711e-15 44626.4 0.00450309
7.58781e+07 7.87396e-12 4.04611e-15 45334.2 0.00463532
7.58643e+07 8.00086e-12 4.16718e-15 46048 0.00476967
7.58504e+07 8.1289e-12 4.29033e-15 46767.9 0.00490615
7.58366e+07 8.25811e-12 4.41559e-15 47494 0.00504479
7.58228e+07 8.38848e-12 4.54296e-15 48226.2 0.00518558
7.58089e+07 8.52004e-12 4.67248e-15 48964.6 0.00532854
7.57951e+07 8.65279e-12 4.80414e-15 49709.3 0.00547369
7.57812e+07 8.78675e-12 4.93798e-15 50460.4 0.00562104
7.57673e+07 8.92192e-12 5.07401e-15 51217.9 0.00577059
7.57534e+07 9.05831e-12 5.21224e-15 51981.9 0.00592237
7.57396e+07 9.19595e-12 5.35269e-15 52752.4 0.00607639
7.57257e+07 9.33484e-12 5.49538e-15 53529.4 0.00623265
7.57118e+07 9.47498e-12 5.64033e-15 54313.2 0.00639118
7.56978e+07 9.61641e-12 5.78756e-15 55103.6 0.00655199
7.56839e+07 9.75912e-12 5.93708e-15 55900.8 0.00671508
7.567e+07 9.90312e-12 6.08892e-15 56704.8 0.00688048
7.56561e+07 1.00484e-11 6.24309e-15 57515.7 0.00704819
7.56421e+07 1.01951e-11 6.3996e-15 58333.5 0.00721824
7.56282e+07 1.03431e-11 6.55849e-15 59158.4 0.00739063
7.56142e+07 1.04924e-11 6.71976e-15 59990.3 0.00756538
7.56002e+07 1.06431e-11 6.88344e-15 60829.4 0.00774251
7.55863e+07 1.07951e-11 7.04955e-15 61675.7 0.00792202
7.55723e+07 1.09486e-11 7.2181e-15 62529.3 0.00810393
7.55583e+07 1.11034e-11 7.38912e-15 63390.2 0.00828826
7.55443e+07 1.12597e-11 7.56263e-15 64258.5 0.00847503
7.55303e+07 1.14174e-11 7.73864e-15 65134.3 0.00866424
7.55163e+07 1.15765e-11 7.91717e-15 66017.6 0.00885591
7.55023e+07 1.17371e-11 8.09826e-15 66908.5 0.00905006
7.54882e+07 1.18992e-11 8.2819e-15 67807.1 0.00924669
7.54742e+07 1.20627e-11 8.46814e-15 68713.5 0.00944584
