# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
7.70921e+07 3.23741e-35 3.32777e-40 1.92406e-19 4.12728e-28
7.7079e+07 6.50317e-35 1.33433e-39 3.86364e-19 1.65349e-27
7.70658e+07 9.79753e-35 3.00952e-39 5.81889e-19 3.72619e-27
7.70526e+07 1.31208e-34 5.36325e-39 7.78993e-19 6.63474e-27
7.70394e+07 1.64731e-34 8.40047e-39 9.77691e-19 1.03831e-26
7.70262e+07 1.98549e-34 1.21262e-38 1.178e-18 1.49753e-26
7.7013e+07 2.32663e-34 1.65454e-38 1.37992e-18 2.04153e-26
7.69998e+07 2.67076e-34 2.16631e-38 1.58348e-18 2.67072e-26
7.69865e+07 3.01792e-34 2.74846e-38 1.7887e-18 3.38551e-26
7.69733e+07 3.36812e-34 3.4015e-38 1.99557e-18 4.1863e-26
7.69601e+07 3.7214e-34 4.12594e-38 2.20413e-18 5.07353e-26
7.69468e+07 4.07778e-34 4.92232e-38 2.41438e-18 6.04759e-26
7.69336e+07 4.4373e-34 5.79115e-38 2.62634e-18 7.10893e-26
7.69203e+07 4.79998e-34 6.73299e-38 2.84002e-18 8.25796e-26
7.6907e+07 5.16585e-34 7.74836e-38 3.05544e-18 9.49511e-26
7.68938e+07 5.53494e-34 8.83781e-38 3.27261e-18 1.08208e-25
7.68805e+07 5.90727e-34 1.00019e-37 3.49156e-18 1.22355e-25
7.68672e+07 6.28289e-34 1.12411e-37 3.71229e-18 1.37397e-25
7.68539e+07 6.66181e-34 1.25561e-37 3.93482e-18 1.53337e-25
7.68406e+07 7.04408e-34 1.39474e-37 4.15916e-18 1.7018e-25
7.68273e+07 7.42971e-34 1.54156e-37 4.38534e-18 1.87931e-25
7.6814e+07 7.81875e-34 1.69612e-37 4.61336e-18 2.06594e-25
7.68007e+07 8.21121e-34 1.85849e-37 4.84325e-18 2.26175e-25
7.67873e+07 8.60714e-34 2.02871e-37 5.07503e-18 2.46677e-25
7.6774e+07 9.00657e-34 2.20685e-37 5.30869e-18 2.68105e-25
7.67607e+07 9.40952e-34 2.39297e-37 5.54428e-18 2.90463e-25
7.67473e+07 9.81604e-34 2.58713e-37 5.78179e-18 3.13758e-25
7.6734e+07 1.02261e-33 2.78939e-37 6.02125e-18 3.37993e-25
7.67206e+07 1.06399e-33 2.99981e-37 6.26268e-18 3.63173e-25
7.67072e+07 1.10573e-33 3.21845e-37 6.50609e-18 3.89303e-25
7.66938e+07 1.14784e-33 3.44537e-37 6.7515e-18 4.16388e-25
7.66805e+07 1.19032e-33 3.68063e-37 6.99893e-18 4.44432e-25
7.66671e+07 1.23317e-33 3.92431e-37 7.2484e-18 4.73442e-25
7.66537e+07 1.27641e-33 4.17645e-37 7.49991e-18 5.03422e-25
7.66403e+07 1.32003e-33 4.43713e-37 7.7535e-18 5.34376e-25
7.66269e+07 1.36404e-33 4.70641e-37 8.00918e-18 5.66311e-25
7.66134e+07 1.40843e-33 4.98436e-37 8.26697e-18 5.9923e-25
7.66e+07 1.45322e-33 5.27104e-37 8.52688e-18 6.3314e-25
7.65866e+07 1.49841e-33 5.56651e-37 8.78894e-18 6.68046e-25
7.65731e+07 1.544e-33 5.87085e-37 9.05317e-18 7.03952e-25
7.65597e+07 1.59e-33 6.18413e-37 9.31958e-18 7.40865e-25
7.65462e+07 1.6364e-33 6.5064e-37 9.58819e-18 7.78789e-25
7.65328e+07 1.68321e-33 6.83774e-37 9.85903e-18 8.17729e-25
7.65193e+07 1.73044e-33 7.17822e-37 1.01321e-17 8.57692e-25
7.65058e+07 1.7781e-33 7.52791e-37 1.04074e-17 8.98683e-25
7.64923e+07 1.82617e-33 7.88688e-37 1.06851e-17 9.40708e-25
7.64789e+07 1.87467e-33 8.25519e-37 1.0965e-17 9.83771e-25
7.64654e+07 1.92361e-33 8.63293e-37 1.12472e-17 1.02788e-24
7.64519e+07 1.97298e-33 9.02016e-37 1.15318e-17 1.07304e-24
7.64383e+07 2.02279e-33 9.41697e-37 1.18188e-17 1.11925e-24
7.64248e+07 2.07304e-33 9.82341e-37 1.21081e-17 1.16653e-24
7.64113e+07 2.12375e-33 1.02396e-36 1.23999e-17 1.21487e-24
7.63978e+07 2.1749e-33 1.06655e-36 1.26941e-17 1.26428e-24
7.63842e+07 2.22651e-33 1.11013e-36 1.29907e-17 1.31478e-24
7.63707e+07 2.27858e-33 1.15471e-36 1.32898e-17 1.36636e-24
7.63571e+07 2.33112e-33 1.20028e-36 1.35914e-17 1.41903e-24
7.63436e+07 2.38413e-33 1.24687e-36 1.38955e-17 1.4728e-24
7.633e+07 2.43761e-33 1.29448e-36 1.42021e-17 1.52767e-24
7.63164e+07 2.49156e-33 1.34311e-36 1.45114e-17 1.58365e-24
7.63028e+07 2.546e-33 1.39277e-36 1.48232e-17 1.64075e-24
7.62892e+07 2.60093e-33 1.44347e-36 1.51375e-17 1.69897e-24
7.62756e+07 2.65635e-33 1.49523e-36 1.54546e-17 1.75832e-24
7.6262e+07 2.71227e-33 1.54804e-36 1.57743e-17 1.8188e-24
7.62484e+07 2.76868e-33 1.60192e-36 1.60966e-17 1.88042e-24
7.62348e+07 2.8256e-33 1.65687e-36 1.64217e-17 1.94319e-24
7.62212e+07 2.88303e-33 1.71291e-36 1.67495e-17 2.00711e-24
7.62075e+07 2.94098e-33 1.77003e-36 1.708e-17 2.0722e-24
7.61939e+07 2.99945e-33 1.82826e-36 1.74133e-17 2.13845e-24
7.61803e+07 3.05844e-33 1.88759e-36 1.77494e-17 2.20587e-24
7.61666e+07 3.11796e-33 1.94805e-36 1.80884e-17 2.27448e-24
7.61529e+07 3.17801e-33 2.00962e-36 1.84301e-17 2.34427e-24
7.61393e+07 3.23861e-33 2.07233e-36 1.87748e-17 2.41525e-24
7.61256e+07 3.29974e-33 2.13619e-36 1.91224e-17 2.48744e-24
7.61119e+07 3.36143e-33 2.2012e-36 1.94729e-17 2.56084e-24
7.60982e+07 3.42368e-33 2.26737e-36 1.98263e-17 2.63545e-24
7.60845e+07 3.48648e-33 2.33471e-36 2.01827e-17 2.71128e-24
7.60708e+07 3.54985e-33 2.40323e-36 2.05421e-17 2.78834e-24
7.60571e+07 3.61379e-33 2.47294e-36 2.09046e-17 2.86663e-24
7.60434e+07 3.6783e-33 2.54385e-36 2.12701e-17 2.94617e-24
