# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
699.685 4.52449e-19 -2.66211e-28 2.21501e-13 -2.23208e-14
699.335 9.15883e-19 -4.7365e-28 4.4793e-13 -3.96145e-14
698.985 1.39056e-18 -6.21359e-28 6.79401e-13 -5.18384e-14
698.635 1.87676e-18 -7.0836e-28 9.16027e-13 -5.89489e-14
698.285 2.37473e-18 -7.33653e-28 1.15792e-12 -6.0901e-14
697.935 2.88478e-18 -6.96219e-28 1.40521e-12 -5.76489e-14
697.585 3.40717e-18 -5.95016e-28 1.65801e-12 -4.91456e-14
697.235 3.9422e-18 -4.28981e-28 1.91645e-12 -3.5343e-14
696.885 4.49018e-18 -1.97026e-28 2.18065e-12 -1.61919e-14
696.535 5.05141e-18 1.01957e-28 2.45074e-12 8.35801e-15
696.185 5.6262e-18 4.69102e-28 2.72687e-12 3.83583e-14
695.835 6.21486e-18 9.05564e-28 3.00915e-12 7.38618e-14
695.485 6.81774e-18 1.41252e-27 3.29774e-12 1.14922e-13
695.135 7.43516e-18 1.99119e-27 3.59276e-12 1.61595e-13
694.785 8.06747e-18 2.64279e-27 3.89438e-12 2.13936e-13
694.435 8.71502e-18 3.36858e-27 4.20273e-12 2.72003e-13
694.085 9.37817e-18 4.16984e-27 4.51797e-12 3.35855e-13
693.735 1.00573e-17 5.04789e-27 4.84024e-12 4.05553e-13
693.385 1.07527e-17 6.00406e-27 5.16972e-12 4.81157e-13
693.035 1.14649e-17 7.03972e-27 5.50656e-12 5.6273e-13
692.685 1.21942e-17 8.15625e-27 5.85092e-12 6.50337e-13
692.335 1.2941e-17 9.35509e-27 6.20298e-12 7.44043e-13
691.985 1.37057e-17 1.06377e-26 6.5629e-12 8.43916e-13
691.635 1.44888e-17 1.20055e-26 6.93086e-12 9.50022e-13
691.285 1.52907e-17 1.34601e-26 7.30704e-12 1.06243e-12
690.935 1.61118e-17 1.50029e-26 7.69163e-12 1.18122e-12
690.585 1.69526e-17 1.66357e-26 8.08481e-12 1.30645e-12
690.235 1.78135e-17 1.83598e-26 8.48677e-12 1.43821e-12
689.884 1.8695e-17 2.01772e-26 8.89771e-12 1.57656e-12
689.534 1.95976e-17 2.20893e-26 9.31783e-12 1.72159e-12
689.184 2.05218e-17 2.40978e-26 9.74733e-12 1.87338e-12
688.834 2.1468e-17 2.62047e-26 1.01864e-11 2.032e-12
688.484 2.24369e-17 2.84115e-26 1.06353e-11 2.19753e-12
688.134 2.34288e-17 3.07202e-26 1.10942e-11 2.37007e-12
687.784 2.44445e-17 3.31326e-26 1.15634e-11 2.54969e-12
687.434 2.54843e-17 3.56506e-26 1.2043e-11 2.73648e-12
687.084 2.6549e-17 3.8276e-26 1.25334e-11 2.93054e-12
686.734 2.7639e-17 4.1011e-26 1.30347e-11 3.13194e-12
686.384 2.87549e-17 4.38574e-26 1.35471e-11 3.34079e-12
686.034 2.98974e-17 4.68174e-26 1.4071e-11 3.55718e-12
685.684 3.10671e-17 4.9893e-26 1.46066e-11 3.7812e-12
685.334 3.22645e-17 5.30863e-26 1.51541e-11 4.01296e-12
684.984 3.34904e-17 5.63996e-26 1.57138e-11 4.25254e-12
